service_id,date,exception_type
0,20240101,2
1,20240101,1
3,20240101,1
0,20240108,2
1,20240108,1
3,20240108,1
0,20240211,2
1,20240211,1
3,20240211,1
0,20240212,2
1,20240212,1
3,20240212,1
0,20240223,2
1,20240223,1
3,20240223,1
0,20240320,2
1,20240320,1
3,20240320,1
0,20240429,2
1,20240429,1
3,20240429,1
0,20240503,2
1,20240503,1
3,20240503,1
0,20240504,2
1,20240504,1
3,20240504,1
0,20240505,2
1,20240505,1
3,20240505,1
0,20240506,2
1,20240506,1
3,20240506,1
0,20240715,2
1,20240715,1
3,20240715,1
0,20240811,2
1,20240811,1
3,20240811,1
0,20240812,2
1,20240812,1
3,20240812,1
0,20240916,2
1,20240916,1
3,20240916,1
0,20240922,2
1,20240922,1
3,20240922,1
0,20240923,2
1,20240923,1
3,20240923,1
0,20241014,2
1,20241014,1
3,20241014,1
0,20241103,2
1,20241103,1
3,20241103,1
0,20241104,2
1,20241104,1
3,20241104,1
0,20241123,2
1,20241123,1
3,20241123,1
0,20250101,2
1,20250101,1
3,20250101,1
0,20250113,2
1,20250113,1
3,20250113,1
0,20250211,2
1,20250211,1
3,20250211,1
0,20250223,2
1,20250223,1
3,20250223,1
0,20250224,2
1,20250224,1
3,20250224,1
0,20250320,2
1,20250320,1
3,20250320,1
0,20250429,2
1,20250429,1
3,20250429,1
0,20250503,2
1,20250503,1
3,20250503,1
0,20250504,2
1,20250504,1
3,20250504,1
0,20250505,2
1,20250505,1
3,20250505,1
0,20250506,2
1,20250506,1
3,20250506,1
0,20250721,2
1,20250721,1
3,20250721,1
0,20250811,2
1,20250811,1
3,20250811,1
0,20250915,2
1,20250915,1
3,20250915,1
0,20250923,2
1,20250923,1
3,20250923,1
0,20251013,2
1,20251013,1
3,20251013,1
0,20251103,2
1,20251103,1
3,20251103,1
0,20251123,2
1,20251123,1
3,20251123,1
0,20251124,2
1,20251124,1
3,20251124,1
