stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Tokyu.DenEnToshi.Shibuya,,渋谷,,35.65945,139.701035,Tokyu.DenEnToshi.Shibuya,,0,,,
Tokyu.DenEnToshi.Ikejiriohashi,,池尻大橋,,35.650526,139.683642,Tokyu.DenEnToshi.Ikejiriohashi,,0,,,
Tokyu.DenEnToshi.SangenJaya,,三軒茶屋,,35.644148,139.669257,Tokyu.DenEnToshi.SangenJaya,,0,,,
Tokyu.DenEnToshi.KomazawaDaigaku,,駒沢大学,,35.634069,139.661652,Tokyu.DenEnToshi.KomazawaDaigaku,,0,,,
Tokyu.DenEnToshi.SakuraShimmachi,,桜新町,,35.631997,139.644971,Tokyu.DenEnToshi.SakuraShimmachi,,0,,,
Tokyu.DenEnToshi.Yoga,,用賀,,35.626131,139.634183,Tokyu.DenEnToshi.Yoga,,0,,,
Tokyu.DenEnToshi.FutakoTamagawa,,二子玉川,,35.612226,139.627213,Tokyu.DenEnToshi.FutakoTamagawa,,0,,,
Tokyu.DenEnToshi.FutakoShinchi,,二子新地,,35.607133,139.622419,Tokyu.DenEnToshi.FutakoShinchi,,0,,,
Tokyu.DenEnToshi.Takatsu,,高津,,35.603062,139.61669,Tokyu.DenEnToshi.Takatsu,,0,,,
Tokyu.DenEnToshi.Mizonokuchi,,溝の口,,35.599964,139.610623,Tokyu.DenEnToshi.Mizonokuchi,,0,,,
Tokyu.DenEnToshi.Kajigaya,,梶が谷,,35.593779,139.605694,Tokyu.DenEnToshi.Kajigaya,,0,,,
Tokyu.DenEnToshi.Miyazakidai,,宮崎台,,35.587537,139.591677,Tokyu.DenEnToshi.Miyazakidai,,0,,,
Tokyu.DenEnToshi.Miyamaedaira,,宮前平,,35.584939,139.581552,Tokyu.DenEnToshi.Miyamaedaira,,0,,,
Tokyu.DenEnToshi.Saginuma,,鷺沼,,35.579526,139.572854,Tokyu.DenEnToshi.Saginuma,,0,,,
Tokyu.DenEnToshi.TamaPlaza,,たまプラーザ,,35.577407,139.558583,Tokyu.DenEnToshi.TamaPlaza,,0,,,
Tokyu.DenEnToshi.Azamino,,あざみ野,,35.568561,139.553587,Tokyu.DenEnToshi.Azamino,,0,,,
Tokyu.DenEnToshi.Eda,,江田,,35.558529,139.551559,Tokyu.DenEnToshi.Eda,,0,,,
Tokyu.DenEnToshi.Ichigao,,市が尾,,35.551402,139.54118,Tokyu.DenEnToshi.Ichigao,,0,,,
